"Server","SqlMajor","ProductVersion","VersionInfo","RenameResult","DeployResult","Warnings","Error","Timestamp"
"aza5stgsql001",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:09:25"
"aza5supscb002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:09:32"
"aza5supsql003",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:09:39"
"aza5supsql004",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:09:46"
"aza5supsql005",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:09:53"
"aza5supsql006",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:00"
"azc5atssql001",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:08"
"azc5comsql001",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:08"
"azc5pscsql001",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:09"
"azc5pscsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:10"
"azc5pscsql003",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:11"
"azc5supscb001",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:12"
"azc5supscb002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:13"
"azc5supsql001",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:14"
"azc5supsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:15"
"azc5supsql003",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:16"
"azc5supsql004",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:17"
"azg5actsql001",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:18"
"azg5aptsql001",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-03-06T11:10:18"
"azg5bcpsql001",,,,"Skipped - SQL version","Skipped - SQL version","[11:10:34][Connect-DbaInstance] Failure | Error connecting to [azg5bcpsql001]: The network path was not found.; [11:10:34][Invoke-DbaQuery] Failure | The network path was not found.",,"2026-03-06T11:10:18"
"azg5bcpsql002",,,,"Skipped - SQL version","Skipped - SQL version","[11:11:04][Connect-DbaInstance] Failure | Error connecting to [azg5bcpsql002]: The network path was not found.; [11:11:04][Invoke-DbaQuery] Failure | The network path was not found.",,"2026-03-06T11:10:48"
