"Server","SqlMajor","ProductVersion","VersionInfo","RenameResult","DeployResult","Warnings","Error","Timestamp"
"aza2dfcsql006","16","16.0.4240","16.0.4240","RENAMED","Success",,,"2026-04-22T12:05:41"
"aza2dfcsql007","16","16.0.4240","16.0.4240","RENAMED","Success",,,"2026-04-22T12:05:54"
"aza2dfcsql008","16","16.0.4240","16.0.4240","RENAMED","Success",,,"2026-04-22T12:06:06"
"aza2svcsql002","16","16.0.4240","16.0.4240","RENAMED","Success",,,"2026-04-22T12:06:18"
"azc2corsql003","16","16.0.4230","16.0.4230","RENAMED","Success",,,"2026-04-22T12:06:31"
"azc2dfcsql001","16","16.0.4230","16.0.4230","RENAMED","Success",,,"2026-04-22T12:06:32"
"azc2dfcsql002","16","16.0.4230","16.0.4230","RENAMED","Success",,,"2026-04-22T12:06:34"
"azc2dfcsql003","16","16.0.4230","16.0.4230","RENAMED","Success",,,"2026-04-22T12:06:37"
"azc2vansql003","16","16.0.4230","16.0.4230","RENAMED","Success",,,"2026-04-22T12:06:39"
"azg2corsql004","16","16.0.4240","16.0.4240","RENAMED","Success",,,"2026-04-22T12:06:41"
"azg2dfcsql022","16","16.0.4230","16.0.4230","RENAMED","Success",,,"2026-04-22T12:06:41"
"azg2dfcsql023","16","16.0.4230","16.0.4230","RENAMED","Success",,,"2026-04-22T12:06:42"
"azg2dfcsql024","16","16.0.4230","16.0.4230","RENAMED","Success",,,"2026-04-22T12:06:43"
"azg2ehisql004","16","16.0.4240","16.0.4240","RENAMED","Success",,,"2026-04-22T12:06:44"
"azm2corsql002","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-04-22T12:06:45"
"azm2dfcsql010","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-04-22T12:06:50"
"azm2dfcsql011","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-04-22T12:06:56"
"azm2dfcsql012","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-04-22T12:07:02"
"azm2whbsql010","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-04-22T12:07:08"
