"Server","SqlMajor","ProductVersion","VersionInfo","RenameResult","DeployResult","Warnings","Error","Timestamp"
"aza2dfcsql006","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:34:24"
"aza2dfcsql007","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:34:36"
"aza2dfcsql008","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:34:48"
"aza2svcsql002","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:00"
"azc2corsql003","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:12"
"azc2dfcsql001","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:13"
"azc2dfcsql002","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:15"
"azc2dfcsql003","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:17"
"azc2vansql003","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:19"
"azg2corsql004","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:20"
"azg2dfcsql022","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:21"
"azg2dfcsql023","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:22"
"azg2dfcsql024","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:22"
"azg2ehisql004","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:23"
"azm2corsql002","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:24"
"azm2dfcsql010","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:29"
"azm2dfcsql011","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:35"
"azm2dfcsql012","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:40"
"azm2whbsql010","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-05-11T15:35:46"
