"Server","SqlMajor","ProductVersion","VersionInfo","RenameResult","DeployResult","Warnings","Error","Timestamp"
"aza2corsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:27:59"
"aza2dfcsql006",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:06"
"aza2dfcsql007",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:15"
"aza2dfcsql008",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:22"
"aza2svcsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:29"
"azc2corsql003",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:36"
"azc2dfcsql001",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:37"
"azc2dfcsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:38"
"azc2dfcsql003",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:39"
"azc2vansql003",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:40"
"azg2corsql004",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:41"
"azg2dfcsql022",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:41"
"azg2dfcsql023",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:41"
"azg2dfcsql024",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:42"
"azg2ehisql004",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:42"
"azm2corsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:42"
"azm2dfcsql010",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:45"
"azm2dfcsql011",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:48"
"azm2dfcsql012",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:52"
"azm2whbsql010",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:28:55"
