"Server","SqlMajor","ProductVersion","VersionInfo","RenameResult","DeployResult","Warnings","Error","Timestamp"
"aza2corsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:10:43"
"aza2dfcsql006",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:10:51"
"aza2dfcsql007",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:04"
"aza2dfcsql008",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:12"
"aza2svcsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:19"
"azc2corsql003",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:26"
"azc2dfcsql001",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:27"
"azc2dfcsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:28"
"azc2dfcsql003",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:29"
"azc2vansql003",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:30"
"azg2corsql004",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:31"
"azg2dfcsql022",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:31"
"azg2dfcsql023",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:32"
"azg2dfcsql024",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:32"
"azg2ehisql004",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:32"
"azm2corsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:32"
"azm2dfcsql010",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:35"
"azm2dfcsql011",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:39"
"azm2dfcsql012",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:42"
"azm2whbsql010",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:11:46"
