"Server","SqlMajor","ProductVersion","VersionInfo","RenameResult","DeployResult","Warnings","Error","Timestamp"
"azm5qatsql001","16","16.0.4250","16.0.4250","NOT_FOUND","Success",,,"2026-05-11T15:45:47"
"azm5supscb001","15","15.0.4445","15.0.4445","Skipped - SQL version","Skipped - SQL version",,,"2026-05-11T15:46:07"
"azc5atssql001","15","15.0.4465","15.0.4465","Skipped - SQL version","Skipped - SQL version",,,"2026-05-11T15:46:08"
"azc5comsql001","15","15.0.4465","15.0.4465","Skipped - SQL version","Skipped - SQL version",,,"2026-05-11T15:46:09"
"azg5perfsql02a","16","16.0.4225","16.0.4225","NOT_FOUND","Success",,,"2026-05-11T15:46:09"
"azg5perfsql02b","16","16.0.4225","16.0.4225","NOT_FOUND","Success",,,"2026-05-11T15:46:10"
"azg5perfsql01a","16","16.0.4225","16.0.4225","NOT_FOUND","Success",,,"2026-05-11T15:46:10"
"azg5perfsql01b","16","16.0.4225","16.0.4225","NOT_FOUND","Success",,,"2026-05-11T15:46:11"
"azg5perfsql03a","16","16.0.4225","16.0.4225","NOT_FOUND","Success",,,"2026-05-11T15:46:11"
"azg5perfsql03b","16","16.0.4225","16.0.4225","NOT_FOUND","Success",,,"2026-05-11T15:46:12"
"azg5stgsql001","15","15.0.4455","15.0.4455","Skipped - SQL version","Skipped - SQL version",,,"2026-05-11T15:46:13"
"azg5stgsql002","15","15.0.4455","15.0.4455","Skipped - SQL version","Skipped - SQL version",,,"2026-05-11T15:46:13"
"azg5devsql901","16","16.0.4250","16.0.4250","NOT_FOUND","Success",,,"2026-05-11T15:46:13"
"azg5devsql902","16","16.0.4250","16.0.4250","NOT_FOUND","Success",,,"2026-05-11T15:46:14"
"azg5devsql903","16","16.0.4250","16.0.4250","NOT_FOUND","Success",,,"2026-05-11T15:46:14"
"azg5devsql904","16","16.0.4250","16.0.4250","NOT_FOUND","Success",,,"2026-05-11T15:46:15"
"azg5qatsql01a,31433","16","16.0.4250","16.0.4250","NOT_FOUND","Success",,,"2026-05-11T15:46:16"
"azg5qatsql01b,31433","16","16.0.4250","16.0.4250","NOT_FOUND","Success",,,"2026-05-11T15:46:17"
"azg5qatsql901","16","16.0.4250","16.0.4250","NOT_FOUND","Success",,,"2026-05-11T15:46:17"
"azg5qatsql902","16","16.0.4250","16.0.4250","NOT_FOUND","Success",,,"2026-05-11T15:46:18"
"azg5qatsql903","16","16.0.4250","16.0.4250","NOT_FOUND","Success",,,"2026-05-11T15:46:19"
"azg5qatsql904","16","16.0.4250","16.0.4250","NOT_FOUND","Success",,,"2026-05-11T15:46:19"
