"Server","SqlMajor","ProductVersion","VersionInfo","RenameResult","DeployResult","Warnings","Error","Timestamp"
"aza2actsql002","16","16.0.4255","16.0.4255","RENAMED","Success",,,"2026-06-08T10:38:58"
"aza2bizsql001","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-06-08T10:39:11"
"aza2cdcsql001","16","16.0.4255","16.0.4255","RENAMED","Success",,,"2026-06-08T10:39:23"
"aza2cfgsql003","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:39:35"
"aza2corsql002","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:39:46"
"aza2dfcscb001","15","15.0.4465","15.0.4465","Skipped - SQL version","Skipped - SQL version",,,"2026-06-08T10:39:58"
"aza2dfcscb002","16","16.0.4250","16.0.4250","RENAMED","Success",,,"2026-06-08T10:40:02"
"aza2dflsql001","15","15.0.4470","15.0.4470","Skipped - SQL version","Skipped - SQL version",,,"2026-06-08T10:40:13"
"aza2gbisql001","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:40:16"
"aza2gcgsql002","16","16.0.4255","16.0.4255","RENAMED","Success",,,"2026-06-08T10:40:28"
"aza2gcrsql002","16","16.0.4255","16.0.4255","RENAMED","Success",,,"2026-06-08T10:40:40"
"aza2gstsql002","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:40:52"
"aza2gtnsql002","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:41:03"
"aza2mdmsql001","15","15.0.4470","15.0.4470","Skipped - SQL version","Skipped - SQL version",,,"2026-06-08T10:41:15"
"aza2monsql001","17","17.0.4040","17.0.4040","RENAMED","Success",,,"2026-06-08T10:41:19"
"aza2salsql003","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:41:31"
"aza2scrsql001","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:41:43"
"aza2stgsql002","16","16.0.4255","16.0.4255","RENAMED","Success",,,"2026-06-08T10:41:55"
"aza2svcsql003","16","16.0.4255","16.0.4255","RENAMED","Success",,,"2026-06-08T10:42:07"
"aza2svcsql003","16","16.0.4255","16.0.4255","Executed","Success","[10:42:25][Invoke-DbaQuery] [aza2svcsql003] Failed during execution | Error: The new name 'DatabaseBackup_glb001' is already in use as a OBJECT name and would cause a duplicate that is not permitted.",,"2026-06-08T10:42:19"
"aza2trnsql002","16","16.0.4255","16.0.4255","RENAMED","Success",,,"2026-06-08T10:42:30"
"azc2airsql001","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:42:42"
"azc2bizsql004","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:42:44"
"azc2cdcsql001","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:42:45"
"azc2cfgsql006","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:42:47"
"azc2cfgsql007","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:42:49"
"azc2cfgsql008","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:42:51"
"azc2dccsql003","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:42:53"
"azc2dcssql001","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:42:55"
"azc2dcssql003","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:42:57"
"azc2delsql002","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:42:59"
"azc2dfcscb002","15","15.0.4470","15.0.4470","Skipped - SQL version","Skipped - SQL version",,,"2026-06-08T10:43:01"
"azc2dfcscb003","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:43:01"
"azc2dfcsql004","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:43:04"
"azc2dfcsql005","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:43:06"
"azc2dfcsql006","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:43:08"
"azc2dfcsql007","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:43:10"
"azc2dfcsql008","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:43:12"
"azc2dfcsql009","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:43:14"
"azc2dfcsql010","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:43:16"
"azc2dfcsql011","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:43:18"
"azc2dfcsql012","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:43:20"
"azc2dfcsql013","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:43:22"
"azc2dfcsql014","16","16.0.4252","16.0.4252","RENAMED","Success",,,"2026-06-08T10:43:25"
"azc2dflsql10a,31433","15","15.0.4465","15.0.4465","Skipped - SQL version","Skipped - SQL version",,,"2026-06-08T10:43:26"
"azc2dflsql10b,31433","15","15.0.4470","15.0.4470","Skipped - SQL version","Skipped - SQL version",,,"2026-06-08T10:43:27"
