"Server","SqlMajor","ProductVersion","RenameResult","DeployResult","Error","Timestamp"
"aza5pscsql002",,,"Skipped - version unknown","Skipped - version unknown","The property 'MajorVersion' cannot be found on this object. Verify that the property exists.","2026-03-06T10:09:53"
"azg5bcpsql01a,31433",,,"Skipped - version unknown","Skipped - version unknown","The property 'MajorVersion' cannot be found on this object. Verify that the property exists.","2026-03-06T10:09:57"
