"Server","SqlMajor","ProductVersion","RenameResult","DeployResult","Error","Timestamp"
"aza5pscsql002","16",,"Executed","Success",,"2026-03-06T10:20:10"
"azg5bcpsql01a,31433","16",,"Executed","Success",,"2026-03-06T10:20:23"
