"Table","IndexName","Side","SourceSignature","DestSignature"
"company.BusinessUnitReplica",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"company.BusinessUnitReplica",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"company.PositionManagementWorkAssignmentReplica",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"company.PositionManagementWorkAssignmentReplica",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"company.PositionReplica",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"company.PositionReplica",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"company.PositionReplica",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dapdstdo.MeasureCategory",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dapdstdo.MeasureCategory",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dapdstdo.MeasureCategoryList",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dapdstdo.MeasureCategoryList",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dapdstdo.MeasureDimensionList",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dapdstdo.MeasureDimensionList",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AccrualEngineConfig",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AccrualEngineConfig",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActionToken",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActionToken",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActionToken",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActionToken",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActiveEmployeeForPunch",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActiveEmployeeForPunch",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEventDataEntityType",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEventDataEntityType",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEventDataEntityValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEventDataEntityValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEventDataEntityValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEventDataEntityValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEventDataEntityValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEventLike",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEventLike",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEventType",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActivityEventType",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActualKPIAxisDay",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActualKPIAxisDay",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActualKPIAxisWeek",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ActualKPIAxisWeek",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.Affiliation",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.Affiliation",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AggregatedBaseRateTransaction",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AggregatedBaseRateTransaction",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AlertDefinition",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AlertDefinition",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ApplicationStatus",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ApplicationStatus",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ApplicationStatusGroup",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.ApplicationStatusGroup",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AppUser",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AppUser",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AppUser",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AppUser",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AppUser",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AppUser",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AppUser",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AppUserPasswordHistory",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AppUserPasswordHistory",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AppUserScriptPermission",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AppUserScriptPermission",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AssignedSexComplianceCode",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AssignedSexComplianceCode",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AssignedSexCountryAware",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AssignedSexCountryAware",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AttendancePolicy",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AttendancePolicy",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AttendancePolicyCulture",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AttendancePolicyCulture",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AttendancePolicyDecrementCascade",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AttendancePolicyDecrementCascade",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AttendancePolicyDecrementCascade",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AttendancePolicyElementValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AttendancePolicyElementValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AttendanceRulePolicyDecrementCascade",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AttendanceRulePolicyDecrementCascade",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AttendanceRulePolicyDecrementCascade",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AuthorityType",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AuthorityType",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AuthorityTypeCulture",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AuthorityTypeCulture",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AuthorizationPolicy",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AuthorizationPolicy",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AuthorizationPolicyCulture",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AuthorizationPolicyCulture",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AutofillRPConstElementValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AutofillRPConstElementValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AutofillRPMinimumsElementValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.AutofillRPMinimumsElementValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJob",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
