"Table","Location"
"dbo.DFConfigDataMapping","Both"
"dbo.DFDatabaseIdentification","Both"
"dbo.DFDatabaseIdentificationAudit","Both"
"dbo.DFDatabaseType","Both"
"dbo.DFDatabaseTypeCulture","Both"
"dbo.DFDisabilityStatus","Both"
"dbo.DFDisabilityStatusCountryContext","Both"
"dbo.DFDisabilityStatusCulture","Both"
"dbo.DFDistributionList","Both"
"dbo.DFDistributionListRecipient","Both"
"dbo.DFElement","Both"
"dbo.DFElementCulture","Both"
"dbo.DFElementParam","Both"
"dbo.DFElementParamCulture","Both"
"dbo.DFEmployeeSelector","Both"
"dbo.DFEntitySelector","Both"
"dbo.DFEntitySelectorItems","Both"
"dbo.DFEthnicity","Both"
"dbo.DFEthnicityCountryContext","Both"
"dbo.DFEthnicityCulture","Both"
"dbo.DFExternalDataLoadSyncJobSuccessfulRunDates","Both"
"dbo.DFFlightRiskSurveyAnswer","Both"
"dbo.DFFlightRiskSurveyAnswerCulture","Both"
"dbo.DFFlightRiskSurveyQuestion","Both"
"dbo.DFFlightRiskSurveyQuestionCulture","Both"
"dbo.DFFormCategory","Both"
"dbo.DFFormCategoryCulture","Both"
"dbo.DFFormTemplate","Both"
"dbo.DFFormTemplateAudit","Both"
"dbo.DFFormTemplateCulture","Both"
"dbo.DFFormTemplateData","Both"
"dbo.DFFormTemplateDataAudit","Both"
"dbo.DFFormTemplateProcess","Both"
"dbo.DFFormTemplateProcessAudit","Both"
"dbo.DFGoldFeature","Both"
"dbo.DFGoldFeatureMapping","Both"
"dbo.DFHaltVERSION","Both"
"dbo.DFIDUsersSyncHistory","Both"
"dbo.DFInternalHoliday","Both"
"dbo.DFInternalHolidayCulture","Both"
"dbo.DFInternalHolidayType","Both"
"dbo.DFJobsDataLoadQueue","Both"
"dbo.DFJobsInternalCareerProfileQueue","Both"
"dbo.DFJournal","Both"
"dbo.DFLinkFileTrackerDownloadLog","Both"
"dbo.DFMessage","Both"
"dbo.DFMessageFeatureNavigationOption","Both"
"dbo.DFMessageFolder","Both"
"dbo.DFMessageFolderCulture","Both"
"dbo.DFMessageRecipient","Both"
"dbo.DFMessageRecipientType","Both"
"dbo.DFMessageReport","Both"
"dbo.DFMessageTemplate","Both"
"dbo.DFMessageType","Both"
"dbo.DFPayGrade","Both"
"dbo.DFPayGradeCulture","Both"
"dbo.DFPayGradeOrgDifferential","Both"
"dbo.DFPayGradePayZoneDifferential","Both"
"dbo.DFPayGradeRate","Both"
"dbo.DFPayMethod","Both"
"dbo.DFPayMethodCulture","Both"
"dbo.DFPayZone","Both"
"dbo.DFPayZoneAudit","Both"
"dbo.DFPayZoneCriteria","Both"
"dbo.DFPayZoneCriteriaCity","Both"
"dbo.DFPayZoneCriteriaCityAudit","Both"
"dbo.DFPayZoneCriteriaEntityType","Both"
"dbo.DFPayZoneCriteriaPostalZipCode","Both"
"dbo.DFPayZoneCriteriaPostalZipCodeAudit","Both"
"dbo.DFPayZoneCriteriaState","Both"
"dbo.DFPayZoneCriteriaStateAudit","Both"
"dbo.DFPayZoneCulture","Both"
"dbo.DFRegionalEntityExt","Both"
"dbo.DFRegionalEntityExtDef","Both"
"dbo.DFRegionalEntityExtDefArchive","Both"
"dbo.DFRegionalEntityExtProperty","Both"
"dbo.DFRegionalEntityExtPropertyValue","Both"
"dbo.DFRegionalEntityExtPropertyValueArchive","Both"
"dbo.DFRegionEntityType","Both"
"dbo.DFRegionType","Both"
"dbo.DFResponse","Both"
"dbo.DFResponseCulture","Both"
"dbo.DFSystemFailedPunchLog","Both"
"dbo.DFTaxMethod","Both"
"dbo.DFTaxMethodCulture","Both"
"dbo.DFUnion","Both"
"dbo.DFUnionCulture","Both"
"dbo.DFVersion","Both"
"dbo.DFVersionLog","Both"
"dbo.DFVeteransStatus","Both"
"dbo.DFVeteransStatusCulture","Both"
"dbo.DFWorkflowConfiguration","Both"
"dbo.DFWorkflowCrossRef","Both"
"dbo.DFWorkflowCrossRefType","Both"
"dbo.DFWorkflowData","Both"
"dbo.DFWorkflowDataHREvent","Both"
"dbo.DFWorkflowFeature","Both"
"dbo.DFWorkflowFeature_TFS637519_TFS775188_TFS831307_Step27357","Both"
"dbo.DFWorkflowMessageRecipientReason","Both"
"dbo.DFWorkflowNode","Both"
"dbo.DFWorkflowNodeAudit","Both"
"dbo.DFWorkflowNodeCulture","Both"
"dbo.DFWorkflowNodeData","Both"
"dbo.DFWorkflowNodeElementValue","Both"
"dbo.DFWorkflowNodeElementValueAudit","Both"
"dbo.DFWorkflowNodeElementValueCulture","Both"
"dbo.DFWorkflowNodeLink","Both"
"dbo.DFWorkflowNodeLinkAudit","Both"
"dbo.DFWorkflowNodeLinkCulture","Both"
"dbo.DFWorkflowNodeStateType","Both"
"dbo.DFWorkflowNodeStateTypeCulture","Both"
"dbo.DFWorkflowNodeType","Both"
"dbo.DFWorkflowNodeTypeCulture","Both"
"dbo.DFWorkflowRoutingUser","Both"
"dbo.DFWorkflowTemplate","Both"
"dbo.DFWorkflowTemplateAudit","Both"
"dbo.DFWorkflowTemplateCulture","Both"
"dbo.DFWorkflowType","Both"
"dbo.DFWorkflowTypeCulture","Both"
"dbo.DirectDepositCustomFormControl","Both"
"dbo.DirectDepositCustomFormControlCulture","Both"
"dbo.DirectDepositCustomFormControlText","Both"
"dbo.DirectDepositCustomFormControlTextAudit","Both"
"dbo.DirectDepositCustomFormControlTextCulture","Both"
"dbo.DirectDepositType","Both"
"dbo.DirectDepositTypeCulture","Both"
"dbo.DisabilityEvidenceIssuingAgency","Both"
"dbo.DisabilityEvidenceIssuingAgencyCountryContext","Both"
"dbo.DisabilityEvidenceIssuingAgencyCulture","Both"
"dbo.DisabilityEvidenceType","Both"
"dbo.DisabilityEvidenceTypeCountryContext","Both"
"dbo.DisabilityEvidenceTypeCulture","Both"
"dbo.DisabilityGroup","Both"
"dbo.DisabilityGroupCountryContext","Both"
"dbo.DisabilityGroupCulture","Both"
"dbo.DisabilityPlausibilityValidation","Both"
"dbo.DisabilityWorkingTime","Both"
"dbo.DisabilityWorkingTimeCountryContext","Both"
"dbo.DisabilityWorkingTimeCulture","Both"
"dbo.Disclaimer","Both"
"dbo.DisclaimerAssignment","Both"
"dbo.DisclaimerCulture","Both"
"dbo.DMCIRun","Both"
"dbo.Docket","Both"
"dbo.DocketAssignment","Both"
"dbo.DocketClockDeviceGroup","Both"
"dbo.DocketCulture","Both"
"dbo.DocketToApprovalGroup","Both"
"dbo.DocMgmtAlertLog","Both"
"dbo.DocMgmtClientMigration","Both"
"dbo.DocMgmtCommonEntity","Both"
"dbo.DocMgmtCommonEntityAudit","Both"
"dbo.DocMgmtEntity","Both"
"dbo.DocMgmtEntityCulture","Both"
"dbo.DocMgmtFile","Both"
"dbo.DocMgmtFileSource","Both"
"dbo.DocMgmtFileSourceCulture","Both"
"dbo.DocMgmtFileStatus","Both"
"dbo.DocMgmtFileStatusCulture","Both"
"dbo.DocMgmtFileStore","Both"
"dbo.DocMgmtFileStoreAudit","Both"
"dbo.DocMgmtFileToDocMgmtFileStore","Both"
"dbo.DocMgmtFileToDocMgmtTag","Both"
"dbo.DocMgmtFileToDocMgmtTagAudit","Both"
"dbo.DocMgmtFileType","Both"
"dbo.DocMgmtFileTypeAudit","Both"
"dbo.DocMgmtFileTypeGroup","Both"
"dbo.DocMgmtFileTypeGroupCulture","Both"
"dbo.DocMgmtImport","Both"
"dbo.DocMgmtImportAudit","Both"
"dbo.DocMgmtImportMetadata","Both"
"dbo.DocMgmtImportMetadataAudit","Both"
"dbo.DocMgmtImportStatus","Both"
"dbo.DocMgmtImportStatusCulture","Both"
"dbo.DocMgmtKeyValue","Both"
"dbo.DocMgmtMigrationJob","Both"
"dbo.DocMgmtPermission","Both"
"dbo.DocMgmtPermissionCulture","Both"
"dbo.DocMgmtRelatedEntityType","Both"
"dbo.DocMgmtRoleMap","Both"
"dbo.DocMgmtRoleMapAudit","Both"
"dbo.DocMgmtSecurityGroup","Both"
"dbo.DocMgmtSecurityGroupAudit","Both"
"dbo.DocMgmtSecurityGroupCulture","Both"
"dbo.DocMgmtSecurityGroupUserMap","Both"
"dbo.DocMgmtSecurityGroupUserMapAudit","Both"
"dbo.DocMgmtTag","Both"
"dbo.DocMgmtTagAudit","Both"
"dbo.DocMgmtType","Both"
"dbo.DocMgmtTypeAudit","Both"
"dbo.DocMgmtTypeCulture","Both"
"dbo.DocMgmtTypeGroup","Both"
"dbo.DocMgmtTypeGroupAudit","Both"
"dbo.DocMgmtTypeGroupCulture","Both"
"dbo.DocMgmtTypeToDocMgmtEntity","Both"
"dbo.DocMgmtTypeToDocMgmtEntityAudit","Both"
"dbo.DocMgmtTypeToDocMgmtFileType","Both"
"dbo.DocMgmtTypeToDocMgmtFileTypeAudit","Both"
"dbo.DocMgmtTypeToDocMgmtTypeGroup","Both"
"dbo.DocMgmtTypeToDocMgmtTypeGroupAudit","Both"
"dbo.DocMgmtTypeToFeature","Both"
"dbo.DocMgmtTypeToSecurityGroupMap","Both"
"dbo.DocMgmtTypeToSecurityGroupMapAudit","Both"
"dbo.DocumentArchiveAccessHistory","Both"
"dbo.DocumentBulkExportTracking","Both"
"dbo.DocumentContext","Both"
"dbo.DocumentGroup","Both"
"dbo.DocumentStore","Both"
"dbo.DocumentStoreContent","Both"
"dbo.DocumentStoreTelemetry","Both"
"dbo.DocumentType","Both"
"dbo.DPSEmployee","Both"
"dbo.DPSEmployeeData","Both"
"dbo.DPSHeaderData","Both"
"dbo.DPSType","Both"
"dbo.DSNotificationData","Both"
"dbo.DSNotificationEventSubscription","Both"
"dbo.DSNotificationEventSubscriptionGroup","Both"
"dbo.DSNotificationEventType","Both"
"dbo.DSNotificationFulfillment","Both"
"dbo.DSNotificationFulfillmentReset","Both"
"dbo.DSNotificationFulfillmentStatus","Both"
"dbo.DSNotificationLog","Both"
"dbo.DSNotificationSubscriber","Both"
"dbo.DSQuery","Both"
"dbo.DSQueryParameter","Both"
"dbo.DSReportDataPages","Both"
"dbo.DueDateType","Both"
"dbo.DueDateTypeCulture","Both"
"dbo.DynamicStaffingRequirement","Both"
"dbo.DynamicStaffingRequirementLabor","Both"
"dbo.EarningStatementImport","Both"
"dbo.EarningStatementParameter","Both"
"dbo.EducationConcentration","Both"
"dbo.EducationConcentrationCulture","Both"
"dbo.EducationHistory","Both"
"dbo.EEO4JobCategory","Both"
"dbo.EEO4JobFunction","Both"
"dbo.EEOFilingTemplate","Both"
"dbo.EEOFilingTemplateCulture","Both"
"dbo.EEOFilingTemplateDepartment","Both"
"dbo.EEOFilingTemplateEEO4JobFunction","Both"
"dbo.EEOFilingTemplateEmploymentIndicator","Both"
"dbo.EEOFilingTemplateLegalEntity","Both"
"dbo.EEOFilingTemplatePayClass","Both"
"dbo.EEOFilingTemplatePositionTerm","Both"
"dbo.EfficiencyScoreSettings","Both"
"dbo.EIWOImportMessage","Both"
"dbo.EIWOImportPublishStatus","Both"
"dbo.EIWOImportRejectStatus","Both"
"dbo.EIWOImportRejectStatusCulture","Both"
"dbo.EIWOImportStage","Both"
"dbo.EIWOImportStageAudit","Both"
"dbo.EIWOImportStageMessages","Both"
"dbo.EIWOImportStatus","Both"
"dbo.EIWOImportStatusCulture","Both"
"dbo.ElectronicOnlyDelivery","Both"
"dbo.ElectronicOnlyDeliveryCulture","Both"
"dbo.EmailConfiguration","Both"
"dbo.EmailConfigurationAudit","Both"
"dbo.EmailConfigurationCulture","Both"
"dbo.EmailConfigurationCultureAudit","Both"
"dbo.EmailType","Both"
"dbo.EmailTypeCulture","Both"
"dbo.EmergencyContact","Both"
"dbo.EmergencyContactAudit","Both"
"dbo.emp_profile_payroll_enabled_20191108_TFS775188_TFS831307_Step27351","Both"
"dbo.Employee","Both"
"dbo.EmployeeA1Certificate","Both"
"dbo.EmployeeA1CertificateApplicantType","Both"
"dbo.EmployeeA1CertificateApplicantTypeCulture","Both"
"dbo.EmployeeA1CertificateAudit","Both"
"dbo.EmployeeA1CertificateCancellationType","Both"
"dbo.EmployeeA1CertificateCancellationTypeCulture","Both"
"dbo.EmployeeA1CertificateContractOption","Both"
"dbo.EmployeeA1CertificateContractOptionCulture","Both"
"dbo.EmployeeA1CertificateCorrespondenceType","Both"
"dbo.EmployeeA1CertificateCorrespondenceTypeCulture","Both"
"dbo.EmployeeA1CertificateCrossBorder","Both"
"dbo.EmployeeA1CertificateCrossBorderAudit","Both"
"dbo.EmployeeA1CertificateDeploymentAddress","Both"
"dbo.EmployeeA1CertificateDeploymentAddressAudit","Both"
"dbo.EmployeeA1CertificateDeploymentHistory","Both"
"dbo.EmployeeA1CertificateDeploymentHistoryAudit","Both"
"dbo.EmployeeA1CertificateDocument","Both"
"dbo.EmployeeA1CertificateDocumentAudit","Both"
"dbo.EmployeeA1CertificateEmployerType","Both"
"dbo.EmployeeA1CertificateEmployerTypeCulture","Both"
"dbo.EmployeeA1CertificateEmploymentClassificationType","Both"
"dbo.EmployeeA1CertificateEmploymentClassificationTypeCulture","Both"
"dbo.EmployeeA1CertificateEmploymentType","Both"
"dbo.EmployeeA1CertificateEmploymentTypeCulture","Both"
"dbo.EmployeeA1CertificateExemption","Both"
"dbo.EmployeeA1CertificateExemptionAudit","Both"
"dbo.EmployeeA1CertificateFinancialBenefitType","Both"
"dbo.EmployeeA1CertificateFinancialBenefitTypeCulture","Both"
"dbo.EmployeeA1CertificateFrequentTravellersGlobal","Both"
"dbo.EmployeeA1CertificateFrequentTravellersGlobalAudit","Both"
"dbo.EmployeeA1CertificateFrequentTravellersSingle","Both"
"dbo.EmployeeA1CertificateFrequentTravellersSingleAudit","Both"
"dbo.EmployeeA1CertificateLeaveOption","Both"
"dbo.EmployeeA1CertificateLeaveOptionCulture","Both"
"dbo.EmployeeA1CertificateLegalType","Both"
"dbo.EmployeeA1CertificateLegalTypeCulture","Both"
"dbo.EmployeeA1CertificatePosting","Both"
"dbo.EmployeeA1CertificatePostingAudit","Both"
"dbo.EmployeeA1CertificatePublicSector","Both"
"dbo.EmployeeA1CertificatePublicSectorAudit","Both"
"dbo.EmployeeA1CertificateReplacingEmployeeReason","Both"
"dbo.EmployeeA1CertificateReplacingEmployeeReasonCulture","Both"
"dbo.EmployeeA1CertificateStatePersonType","Both"
"dbo.EmployeeA1CertificateStatePersonTypeCulture","Both"
"dbo.EmployeeA1CertificateStatus","Both"
"dbo.EmployeeA1CertificateStatusCulture","Both"
"dbo.EmployeeAdvancePayRunDetails","Both"
"dbo.EmployeeAEPN","Both"
"dbo.EmployeeAEPNAudit","Both"
"dbo.EmployeeAggregatedWorkedMinutes","Both"
"dbo.EmployeeAppliedBaseRates","Both"
"dbo.EmployeeAssignedSexAndGenderIdentity","Both"
"dbo.EmployeeAssignedSexAndGenderIdentityAudit","Both"
"dbo.EmployeeAssistantAllocation","Both"
"dbo.EmployeeAssistantAllocationAudit","Both"
"dbo.EmployeeAttendanceDecrementCascadeDetail","Both"
"dbo.EmployeeAttendanceGrade","Both"
"dbo.EmployeeAttendanceGradeDetail","Both"
"dbo.EmployeeAttendanceGradeNotification","Both"
"dbo.EmployeeAttendanceIncident","Both"
"dbo.EmployeeAttendanceIncidentDetail","Both"
"dbo.EmployeeAttendanceIncidentNotification","Both"
"dbo.EmployeeAttendanceIncidentOverride","Both"
"dbo.EmployeeAttendanceViolation","Both"
"dbo.EmployeeAttendanceViolationDetail","Both"
"dbo.EmployeeAttendanceViolationGradeDetail","Both"
"dbo.EmployeeAttendanceViolationHRIncident","Both"
"dbo.EmployeeAttendanceViolationNotification","Both"
"dbo.EmployeeAttendanceViolationOverride","Both"
"dbo.EmployeeAttributes","Both"
"dbo.EmployeeAttributesConfig","Both"
"dbo.EmployeeAudit","Both"
"dbo.EmployeeAuditArchive","Both"
"dbo.EmployeeAUSFederalTaxInfo","Both"
"dbo.EmployeeAUSFederalTaxInfoAudit","Both"
"dbo.EmployeeAusSuperannuationDetails","Both"
"dbo.EmployeeAUSSuperannuationRules","Both"
"dbo.EmployeeAUSSuperannuationRulesAudit","Both"
"dbo.EmployeeAUSTaxTreatmentCode","Both"
"dbo.EmployeeAUSTerminationPaymentInfo","Both"
"dbo.EmployeeAUSTerminationPaymentInfoAudit","Both"
"dbo.EmployeeAvail","Both"
"dbo.EmployeeAvailAudit","Both"
"dbo.EmployeeAvailTemp","Both"
"dbo.EmployeeAvailTemplate","Both"
"dbo.EmployeeAvailTemplateName","Both"
"dbo.EmployeeBadge","Both"
"dbo.EmployeeBadgeAudit","Both"
"dbo.EmployeeBalance","Both"
"dbo.EmployeeBalanceAccess","Both"
"dbo.EmployeeBalanceAccessReason","Both"
"dbo.EmployeeBalanceArchive","Both"
"dbo.EmployeeBalanceGrantDate","Both"
"dbo.EmployeeBalancePeriod","Both"
"dbo.EmployeeBalancePeriodArchive","Both"
"dbo.EmployeeBalancePeriodAudit","Both"
"dbo.EmployeeBalancePeriodAuditArchive","Both"
"dbo.EmployeeBalancePeriodPermanent","Both"
"dbo.EmployeeBalancePermanent","Both"
"dbo.EmployeeBalanceTransaction","Both"
"dbo.EmployeeBalanceTransactionArchive_Deprecated","Both"
"dbo.EmployeeBalanceTransactionAudit","Both"
"dbo.EmployeeBalanceTransactionAuditArchive","Both"
"dbo.EmployeeBalanceTransactionChecksum","Both"
"dbo.EmployeeBalanceTransactionDeduction","Both"
"dbo.EmployeeBalanceTransactionDeductionAudit","Both"
"dbo.EmployeeBalanceTransactionPermanent_Deprecated","Both"
"dbo.EmployeeBenefitDependent","Both"
"dbo.EmployeeBenefitLog","Both"
"dbo.EmployeeBenefitPlan","Both"
"dbo.EmployeeBioConsent","Both"
"dbo.EmployeeBioConsentAudit","Both"
"dbo.EmployeeBiography","Both"
"dbo.EmployeeBioTemplate","Both"
"dbo.EmployeeBioTemplateAudit","Both"
"dbo.EmployeeCanTaxInfo","Both"
"dbo.EmployeeCar","Both"
"dbo.EmployeeCarAudit","Both"
"dbo.EmployeeCarExtension","Both"
"dbo.EmployeeCarExtensionAudit","Both"
"dbo.EmployeeCertificateDEU","Both"
"dbo.EmployeeCertificateDEUAudit","Both"
"dbo.EmployeeCertificateType","Both"
"dbo.EmployeeCertificateTypeCulture","Both"
"dbo.EmployeeChangesReportField","Both"
"dbo.EmployeeChangesReportFieldCulture","Both"
"dbo.EmployeeClockDeviceGroup","Both"
"dbo.EmployeeCOA","Both"
"dbo.EmployeeCOBRANotificationHistory","Both"
"dbo.EmployeeCommencementService","Both"
"dbo.EmployeeCommencementServiceDocument","Both"
"dbo.EmployeeCommencementServiceGTMRMapping","Both"
"dbo.EmployeeCommencementServiceStatus","Both"
"dbo.EmployeeConfidentialIdentification","Both"
"dbo.EmployeeConfidentialIdentificationAudit","Both"
"dbo.EmployeeConfidentialIdentificationDocument","Both"
"dbo.EmployeeConfidentialIdentificationDocumentAudit","Both"
"dbo.EmployeeCourse","Both"
"dbo.EmployeeDeduction","Both"
"dbo.EmployeeDeductionAdditionalDetailsMapping","Both"
"dbo.EmployeeDeductionAudit","Both"
"dbo.EmployeeDeductionBalance","Both"
"dbo.EmployeeDeductionBalanceTransaction","Both"
"dbo.EmployeeDeductionBenElectedRate","Both"
"dbo.EmployeeDeductionInArrears","Both"
"dbo.EmployeeDeductionInArrearsTransaction","Both"
"dbo.EmployeeDeductionLimit","Both"
"dbo.EmployeeDeductionLimitAudit","Both"
"dbo.EmployeeDeductionLimitStage","Both"
"dbo.EmployeeDeductionLimitStageAudit","Both"
"dbo.EmployeeDeductionParam","Both"
"dbo.EmployeeDeductionParamAudit","Both"
"dbo.EmployeeDeductionParamStage","Both"
"dbo.EmployeeDeductionParamStageAudit","Both"
"dbo.EmployeeDeductionPayeeParameter","Both"
"dbo.EmployeeDeductionPayeeParameterAudit","Both"
"dbo.EmployeeDeductionPayeeParameterStage","Both"
"dbo.EmployeeDeductionPayeeParameterStageAudit","Both"
"dbo.EmployeeDeductionStage","Both"
"dbo.EmployeeDeductionStageAudit","Both"
"dbo.EmployeeDeductionTrack","Both"
"dbo.EmployeeDefaultLabor","Both"
"dbo.EmployeeDefaultLaborMetricsCode","Both"
"dbo.EmployeeDefaultLaborMetricsCodeAudit","Both"
"dbo.EmployeeDefinablePayRatePeriod","Both"
"dbo.EmployeeDeliveryPackage","Both"
"dbo.EmployeeDeliveryPackageAudit","Both"
"dbo.EmployeeDeliveryPackageTaxForm","Both"
"dbo.EmployeeDeliveryPackageTaxFormAudit","Both"
"dbo.EmployeeDependent","Both"
"dbo.EmployeeDependentBeneficiary","Both"
"dbo.EmployeeDependentBeneficiaryAudit","Both"
"dbo.EmployeeDirectDeposit","Both"
"dbo.EmployeeDirectDepositAudit","Both"
"dbo.EmployeeDisability","Both"
"dbo.EmployeeDisabilityAudit","Both"
"dbo.EmployeeDisabilityDocument","Both"
"dbo.EmployeeDisabilityDocumentAudit","Both"
"dbo.EmployeeEarning","Both"
"dbo.EmployeeEarningAudit","Both"
"dbo.EmployeeEarningBalance","Both"
"dbo.EmployeeEarningBalanceTransaction","Both"
"dbo.EmployeeEarningBenElectedRate","Both"
"dbo.EmployeeEarningInArrears","Both"
"dbo.EmployeeEarningInArrearsTransaction","Both"
"dbo.EmployeeEarningLimit","Both"
"dbo.EmployeeEarningLimitAudit","Both"
"dbo.EmployeeEarningLimitStage","Both"
"dbo.EmployeeEarningLimitStageAudit","Both"
"dbo.EmployeeEarningParam","Both"
"dbo.EmployeeEarningParamAudit","Both"
"dbo.EmployeeEarningParamStage","Both"
"dbo.EmployeeEarningParamStageAudit","Both"
"dbo.EmployeeEarningPayeeParameter","Both"
"dbo.EmployeeEarningPayeeParameterAudit","Both"
"dbo.EmployeeEarningPayeeParameterStage","Both"
"dbo.EmployeeEarningPayeeParameterStageAudit","Both"
"dbo.EmployeeEarningStage","Both"
"dbo.EmployeeEarningStageAudit","Both"
"dbo.EmployeeEarningStatementImport","Both"
"dbo.EmployeeEarningTrack","Both"
"dbo.EmployeeEEO","Both"
"dbo.EmployeeEEOCulture","Both"
"dbo.EmployeeElectedBenPlanOption","Both"
"dbo.EmployeeEmploymentAgreement","Both"
"dbo.EmployeeEmploymentStatus","Both"
"dbo.EmployeeEmploymentStatusAudit","Both"
"dbo.EmployeeEmploymentStatusAuditArchive","Both"
"dbo.EmployeeEmploymentStatusChangeReasons","Both"
"dbo.EmployeeEmploymentStatusChangeReasonsAudit","Both"
"dbo.EmployeeEmploymentTransferData","Both"
"dbo.EmployeeEmploymentTransferDataAudit","Both"
"dbo.EmployeeEmploymentType","Both"
"dbo.EmployeeEntitlementBalanceImportHistory","Both"
"dbo.EmployeeEntitlementDate","Both"
"dbo.EmployeeEntitlementTransaction","Both"
"dbo.EmployeeEstate","Both"
"dbo.EmployeeEthnicity","Both"
"dbo.EmployeeEthnicityAudit","Both"
"dbo.EmployeeEWSS","Both"
"dbo.EmployeeEWSSAudit","Both"
"dbo.EmployeeExperienceLevels","Both"
"dbo.EmployeeExperienceLevelsAudit","Both"
"dbo.EmployeeFavoriteLaborMetrics","Both"
"dbo.EmployeeFavoriteLaborMetricsCodes","Both"
"dbo.EmployeeFederalTaxInfo","Both"
"dbo.EmployeeFederalTaxInfoAudit","Both"
"dbo.EmployeeFederalTaxInfoCAN","Both"
"dbo.EmployeeFederalTaxInfoCANAudit","Both"
"dbo.EmployeeFile","Both"
"dbo.EmployeeFlightRiskSurvey","Both"
"dbo.EmployeeGarnishmentBalancesTransaction","Both"
"dbo.EmployeeGarnishmentInArrearsTransaction","Both"
"dbo.EmployeeGenderBackupData","Both"
"dbo.EmployeeGenderMigrateBackupData","Both"
"dbo.EmployeeGlobalPropertyValue","Both"
"dbo.EmployeeGroup","Both"
"dbo.EmployeeGroupCulture","Both"
"dbo.EmployeeHCE","Both"
"dbo.EmployeeHealthWellness","Both"
"dbo.EmployeeHREvent","Both"
"dbo.EmployeeHRIncident","Both"
"dbo.EmployeeHRIncidentNote","Both"
"dbo.EmployeeHRPolicy","Both"
"dbo.EmployeeIdentity","Both"
"dbo.EmployeeIncentive","Both"
"dbo.EmployeeIncentiveAmount","Both"
"dbo.EmployeeIndigenousStatus","Both"
"dbo.EmployeeIndigenousStatusAudit","Both"
"dbo.EmployeeInfoChangeRequest","Both"
"dbo.EmployeeJobAudit","Both"
"dbo.EmployeeJobBackup","Both"
"dbo.EmployeeJobStepRate","Both"
"dbo.EmployeeJobStepStatistics","Both"
"dbo.EmployeeJobStepTransaction","Both"
"dbo.EmployeeKeyDatesArchive","Both"
"dbo.EmployeeLeaveOfAbsence","Both"
"dbo.EmployeeLeaveOfAbsenceAdoption","Both"
"dbo.EmployeeLeaveOfAbsenceAudit","Both"
"dbo.EmployeeLeaveOfAbsenceLoSRelevantDateType","Both"
"dbo.EmployeeLeaveOfAbsenceLoSRelevantDateTypeCulture","Both"
"dbo.EmployeeLeaveOfAbsenceMaternityPaternity","Both"
"dbo.EmployeeLeaveOfAbsenceMaternityPaternityAudit","Both"
"dbo.EmployeeLeaveOfAbsenceMaternityQualifiedPay","Both"
"dbo.EmployeeLeaveOfAbsenceMaternityQualifiedPayAudit","Both"
"dbo.EmployeeLeaveOfAbsenceSharedParental","Both"
"dbo.EmployeeLeaveOfAbsenceSharedParentalAudit","Both"
"dbo.EmployeeLegalEntityPayrollTax","Both"
"dbo.EmployeeLegalEntityPayrollTaxAudit","Both"
"dbo.EmployeeLegalEntityPayrollTaxElementValue","Both"
"dbo.EmployeeLegalEntityPayrollTaxElementValueAudit","Both"
"dbo.EmployeeLegalEntityPayrollTaxManualTaxAddress","Both"
"dbo.EmployeeLegalEntityPayrollTaxManualTaxAddressAudit","Both"
"dbo.EmployeeLegalEntityPayrollTaxParameterDef","Both"
"dbo.EmployeeLegalEntityPayrollTaxParameterDefAudit","Both"
"dbo.EmployeeLegalEntityWorkAssignmentMap","Both"
"dbo.EmployeeLegalEntityWorkAssignmentMapAudit","Both"
"dbo.EmployeeLSLAnniversaryDate","Both"
"dbo.EmployeeLSLServicePeriod","Both"
"dbo.EmployeeManagerData","Both"
"dbo.EmployeeManagerDataArchive","Both"
"dbo.EmployeeManagerDataAudit","Both"
"dbo.EmployeeManagerDelegateByRoleList","Both"
"dbo.EmployeeManagerDelegateByRoleListAudit","Both"
"dbo.EmployeeManagerDeleteTracking","Both"
"dbo.EmployeeManagerHierarchyCurrent","Both"
"dbo.EmployeeMaritalStatus","Both"
"dbo.EmployeeMaritalStatusAudit","Both"
"dbo.EmployeeMassAssignmentEmployeeFieldValues","Both"
"dbo.EmployeeMassAssignmentEmployees","Both"
"dbo.EmployeeMassAssignmentErrors","Both"
"dbo.EmployeeMassAssignmentFields","Both"
"dbo.EmployeeMassAssignmentHistory","Both"
"dbo.EmployeeMinimumWageChange","Both"
"dbo.EmployeeMissedRawPunch","Both"
"dbo.EmployeeMultiTAFWSet","Both"
"dbo.EmployeeMUSOtherTaxDetails","Both"
"dbo.EmployeeMUSOtherTaxDetailsAudit","Both"
"dbo.EmployeeMUSTaxDetails","Both"
"dbo.EmployeeMUSTaxDetailsAudit","Both"
"dbo.EmployeeMySchedulesOrdering","Both"
"dbo.EmployeeNoRPN","Both"
"dbo.EmployeeNZLFederalTaxInfo","Both"
"dbo.EmployeeNZLFederalTaxInfoAudit","Both"
"dbo.EmployeeNZLKiwiSaverDetails","Both"
"dbo.EmployeeNZLKiwiSaverDetailsAudit","Both"
"dbo.EmployeeOnboardingBadge","Both"
"dbo.EmployeeOnboardingPolicy","Both"
"dbo.EmployeeOnboardingPolicyAudit","Both"
"dbo.EmployeeOnboardingPolicyESignTemplate","Both"
"dbo.EmployeeOnboardingPolicyESignTemplateAudit","Both"
"dbo.EmployeeOnboardingPolicyManagerCreatedChecklist","Both"
