"Table","Location"
"dbo.Activity","Both"
"dbo.ActivityCulture","Both"
"dbo.ActivityEvent","Both"
"dbo.ActivityEventCategory","Both"
"dbo.ActivityEventCategoryCulture","Both"
"dbo.ActivityEventDataEntityType","Both"
"dbo.ActivityEventDataEntityTypeCulture","Both"
"dbo.ActivityEventDataEntityValue","Both"
"dbo.ActivityEventLike","Both"
"dbo.ActivityEventType","Both"
"dbo.ActivityEventVisibilityType","Both"
"dbo.ActivityEventVisibilityTypeCulture","Both"
"dbo.ActivityTransitionRequirement","Both"
"dbo.ActualKPIAxisDay","Both"
"dbo.ActualKpiAxisDayStaging","Both"
"dbo.ActualKPIAxisMinute","Both"
"dbo.ActualKpiAxisMinuteStaging","Both"
"dbo.ActualKPIAxisWeek","Both"
"dbo.ActualKPIAxisWeekCalc","Both"
"dbo.ActualKPIDay","Both"
"dbo.ActualKPIMinute","Both"
"dbo.ActualKPIWeek","Both"
"dbo.ActualKPIWeekCalc","Both"
"dbo.AdditionalTaxType","Both"
"dbo.AdditionalTaxTypeCulture","Both"
"dbo.Affiliation","Both"
"dbo.AggregatedBaseRateTransaction","Both"
"dbo.AggregatedWorkedMinutesType","Both"
"dbo.AggregatedWorkedMinutesTypeCulture","Both"
"dbo.AggregatedWorkedMinutesTypePayAdjCode","Both"
"dbo.AlertDefinition","Both"
"dbo.AlertDefinitionCulture","Both"
"dbo.AlertDefinitionExtension","Both"
"dbo.AlertRoleSubscription","Both"
"dbo.AlertUserSubscription","Both"
"dbo.AlertUserUnsubscription","Both"
"dbo.AnalyticsKPI","Both"
"dbo.AnalyticsKPICulture","Both"
"dbo.AnalyticsKPIThreshold","Both"
"dbo.AnalyticsKPIThresholdState","Both"
"dbo.AnalyticsKPIThresholdStateCulture","Both"
"dbo.AnalyticsView","Both"
"dbo.AnalyticsViewCulture","Both"
"dbo.Announcement","Both"
"dbo.AnomalyDay","Both"
"dbo.AnomalyDayAssignment","Both"
"dbo.AnomalyDayCulture","Both"
"dbo.AnomalyDayDate","Both"
"dbo.AnomalyDayGroup","Both"
"dbo.AnomalyDayGroupAssignment","Both"
"dbo.AnomalyDayGroupCulture","Both"
"dbo.AnswersAudit","Both"
"dbo.AppEntity","Both"
"dbo.AppEntityCulture","Both"
"dbo.ApplicationStatus","Both"
"dbo.ApplicationStatusCulture","Both"
"dbo.ApplicationStatusGroup","Both"
"dbo.ApplicationStatusGroupCulture","Both"
"dbo.ApplicationStatusReason","Both"
"dbo.ApplicationStatusReasonCulture","Both"
"dbo.ApplyWithSeek","Both"
"dbo.ApprovalGroup","Both"
"dbo.ApprovalGroupCulture","Both"
"dbo.ApprovalGroupToAppUser","Both"
"dbo.ApprovalGroupToRole","Both"
"dbo.ApprovalGroupToRoleExcludedUsers","Both"
"dbo.AppUser","Both"
"dbo.AppUser_TCI26750_Step37250","Both"
"dbo.AppUserAudit","Both"
"dbo.AppUserCulture","Both"
"dbo.AppUserDelegate","Both"
"dbo.AppUserDelegateAudit","Both"
"dbo.AppUserPasswordHistory","Both"
"dbo.AppUserPayrollAccess","Both"
"dbo.AppUserScriptPermission","Both"
"dbo.Assessment","Both"
"dbo.AssessmentAudit","Both"
"dbo.AssessmentStatus","Both"
